"","age","sex","civil_status","education","professional_experience","COMP1","COMP2","COMP3","COMP4","COMP5","CONF1","CONF2","CONF3","CONF4","CONF5","INSE1","INSE2","INSE3","INSE4","INSE5","alene","leder","bransje","kjønn","complexity"
"1",41,1,3,3,"25",2,2,2,2,2,3,1,3,2,2,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",10
"2",28,1,2,3,"5",1,1,1,3,1,1,3,3,3,3,1,1,1,1,1,FALSE,FALSE,"Annet","kvinne",7
"3",26,1,1,3,"1,5",2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",10
"4",43,2,2,3,"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,"Annet","mann",5
"5",39,2,3,2,"22",5,5,4,6,6,3,2,3,3,3,2,1,1,1,1,FALSE,TRUE,"Annet","mann",26
"6",31,1,1,4,"10",4,5,4,6,5,1,1,1,1,1,3,1,1,1,2,TRUE,FALSE,"Helse og omsorg","kvinne",24
"7",51,1,3,3,"30",4,2,3,5,3,5,1,2,1,3,5,5,3,4,3,FALSE,TRUE,"Helse og omsorg","kvinne",17
"8",48,1,3,3,"21",4,4,5,5,5,2,2,2,2,2,2,2,2,2,2,FALSE,TRUE,"Helse og omsorg","kvinne",23
"9",49,1,3,2,"29",1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",7
"10",45,2,3,3,"2006",6,4,4,6,6,6,4,4,6,6,6,4,6,2,2,FALSE,FALSE,"Helse og omsorg","mann",26
"11",26,1,1,2,"4",4,4,4,5,5,4,3,4,2,3,4,1,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",22
"12",28,2,2,2,"5",1,3,1,1,1,4,4,4,4,2,1,1,1,1,1,FALSE,FALSE,"Annet","mann",7
"13",49,2,3,4,"24",6,6,7,7,6,6,6,6,6,6,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","mann",32
"14",61,1,3,4,"36",1,2,1,5,1,7,5,5,6,6,1,1,1,1,1,FALSE,FALSE,"Annet","kvinne",10
