"","Org_num","Alder","Engasjement","Utbrenthet","Overbelastning","Kynisme","Medarbeiderskap","Turnoverintensjon","Informasjonogforutsigbarhet","Medvirkning","Autonomi","Tilbakemelding","Investeringimedarbeiderutvikling","Ledelseskvalitet","Støttefrakolleger","Klarhetimål","Interntsamarbeid","Arbeidspress","Kjønn","Barn_num","Eng1","Eng2","Eng3","Eng4","Eng5","Eng6","Medarb1","Medarb2","Medarb3","Medarb4","Overb1","Overb2","Overb3","Overb4","Kyn1","Kyn2","Kyn3","Turn1","Turn2","Turn3","Info1","Info2","Medv1","Medv2","Medv3","Auto1","Auto2","Auto3","Tilbm1","Tilbm2","Tilbm3","Inv1","Inv2","Inv3","LK1","LK2","LK3","LK4","LK5","Stk1","Stk2","Stk3","Stk4","Stk5","Stk6","Stk7","Kmål1","Kmål2","Kmål3","Ints1","Ints2","Ints3","Ints4","Ints5","Arbp1","Arbp2","Arbp3"
"1",1,NA,2.167,3.71428571428571,3.5,4,4,3,1,2.333,2.333,1,1,2.2,3.857,1.667,2.6,2.667,NA,NA,2,2,2,2,3,2,4,4,4,4,4,2,4,4,4,4,4,3,3,3,1,1,2,1,4,2,2,3,1,1,1,1,1,1,2,2,2,3,2,4,4,3,5,4,4,3,1,1,3,2,1,4,4,2,3,2,3
"2",1,NA,2.333,4.28571428571429,4.75,3.66666666666667,2.5,4,2.5,3.667,4,1,3,1.4,2,2.667,2.8,4.667,NA,NA,2,2,3,2,3,2,3,2,2,3,5,4,5,5,4,4,3,4,4,4,3,2,3,3,5,4,4,4,1,1,1,3,3,3,1,1,3,1,1,2,2,3,2,1,2,2,3,2,3,2,3,3,3,3,5,4,5
"3",1,NA,2.667,4.14285714285714,4.25,4,4.25,5,5,3.667,3,3,2,3.2,3.571,4,4.4,3.333,NA,NA,2,3,4,2,4,1,4,4,4,5,5,3,5,4,4,4,4,5,5,5,5,5,4,4,3,3,3,3,3,3,3,1,2,3,2,4,3,5,2,2,2,3,5,5,3,5,4,4,4,4,3,5,5,5,3,4,3
"4",2,NA,3.667,4.57142857142857,4.5,4.66666666666667,4.75,4.333,2,1,1.333,2.333,1,1,2.286,3.333,3.4,5,2,1,2,5,4,2,5,4,5,5,5,4,5,4,4,5,5,5,4,4,4,5,2,2,1,1,1,2,1,1,2,3,2,1,1,1,1,1,1,1,1,3,2,1,3,2,3,2,3,2,5,3,3,4,4,3,5,5,5
"5",2,NA,2.667,2.71428571428571,2,3.66666666666667,4.25,1,5,1.333,1.333,2,3,3,2.714,3,3.4,3.333,1,2,3,3,3,2,4,1,4,5,3,5,1,1,3,3,4,4,3,1,1,1,5,5,1,2,1,1,2,1,2,2,2,3,3,3,2,4,3,4,2,3,2,1,3,3,4,3,2,2,5,5,4,4,1,3,2,4,4
"6",2,NA,2.833,3.28571428571429,2.5,4.33333333333333,4.25,5,4.5,1.333,1.667,2.333,3,1.2,3.286,4.333,3.8,3,1,1,3,4,1,2,4,3,4,5,4,4,2,1,4,3,5,3,5,5,5,5,5,4,1,2,1,1,3,1,3,3,1,3,2,4,1,1,1,2,1,3,4,3,4,2,3,4,4,4,5,2,3,5,5,4,3,3,3
"7",1,NA,3,3,3,3,4,3,1,3.667,4,3,1,2.2,2.857,2.333,3,3.333,NA,NA,3,3,3,3,3,3,3,5,3,5,3,3,3,3,3,3,3,3,3,3,1,1,3,3,5,4,5,3,3,3,3,1,1,1,1,2,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,2,4,3,4,3,3
"8",1,NA,3.167,3.42857142857143,3,4,2.5,3,3.5,2.333,3,2,2,2.6,4.571,3,3.8,3.333,NA,NA,3,3,3,3,4,3,2,2,3,3,4,2,4,2,4,4,4,4,3,2,3,4,2,2,3,3,3,3,2,2,2,2,2,2,3,3,3,2,2,5,5,5,5,5,4,3,3,3,3,5,2,5,4,3,3,4,3
"9",2,NA,3.333,3.57142857142857,3.5,3.66666666666667,4,4.333,3,4,4,2,2,3,4.429,3.667,3.6,3.333,1,2,3,4,4,3,3,3,4,4,4,4,4,3,3,4,4,3,4,4,4,5,4,2,4,4,4,4,4,4,2,2,2,2,2,2,3,3,4,3,2,5,5,4,5,4,4,4,3,3,5,4,4,2,4,4,3,3,4
"10",2,NA,3.333,3.71428571428571,4,3.33333333333333,4.25,4.333,3,1.667,3.667,1,3,1.6,2.429,4.333,4.4,4.667,1,1,3,4,3,3,5,2,4,5,4,4,4,3,5,4,4,3,3,3,5,5,3,3,2,2,1,3,4,4,1,1,1,3,3,3,1,1,2,1,3,2,2,2,3,1,4,3,5,4,4,5,5,4,4,4,4,5,5
